report_date,report_time,swell_height_ft,swell_period_sec,air_temp_f,water_temp_f
11/03/24,23:00 GMT,1.6,17.0,66.7,55.2
11/04/24,01:00 GMT,1.6,17.0,65.7,54.9
11/04/24,02:00 GMT,1.6,17.0,61.0,54.9
11/04/24,04:00 GMT,1.6,17.0,61.5,54.7
11/04/24,05:00 GMT,1.6,15.0,62.1,54.5
11/04/24,10:00 GMT,2.0,15.0,53.6,54.0
11/04/24,14:00 GMT,2.0,17.0,49.8,54.0
11/04/24,14:00 GMT,2.0,17.0,49.8,54.0
11/04/24,16:00 GMT,1.6,17.0,50.7,54.1
11/04/24,17:00 GMT,2.3,17.0,54.9,54.7
11/04/24,19:00 GMT,2.0,17.0,56.7,55.2
11/04/24,22:00 GMT,2.6,17.0,57.0,55.8
