report_date,report_time,swell_height_ft,swell_period_sec,air_temp_f,water_temp_f
11/04/24,23:00 GMT,3.3,17.0,56.7,55.8
11/05/24,03:00 GMT,3.9,17.0,54.7,55.2
11/05/24,04:00 GMT,3.6,17.0,54.3,55.2
11/05/24,06:00 GMT,2.6,15.0,53.4,55.2
11/05/24,07:00 GMT,3.3,18.0,52.5,55.2
11/05/24,09:00 GMT,3.9,17.0,51.3,55.2
11/05/24,10:00 GMT,3.0,17.0,51.4,55.0
11/05/24,11:00 GMT,3.6,17.0,50.0,54.9
11/05/24,14:00 GMT,3.0,17.0,49.3,55.0
11/05/24,15:00 GMT,3.3,17.0,48.6,55.2
11/05/24,17:00 GMT,2.6,15.0,51.8,55.6
11/05/24,18:00 GMT,2.3,15.0,53.1,55.9
11/05/24,19:00 GMT,2.0,15.0,53.8,56.5
11/05/24,20:00 GMT,2.3,15.0,53.1,56.7
11/05/24,21:00 GMT,2.3,15.0,55.0,56.7
11/05/24,22:00 GMT,2.3,15.0,55.6,57.0
11/05/24,23:00 GMT,2.0,14.0,55.8,56.7
