report_date,report_time,swell_height_ft,swell_period_sec,air_temp_f,water_temp_f
11/01/24,8:00 pm PDT,2.3,15.0,56.1,56.3
11/01/24,9:30 pm PDT,2.0,15.0,55.4,56.3
11/01/24,10:00 pm PDT,2.0,15.0,55.0,56.3
11/01/24,10:30 pm PDT,1.6,15.0,55.0,56.3
